"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"21/04/12","1","2","15","16","21","28","35","40"
"14/04/12","7","8","13","18","25","43","4","17"
"07/04/12","17","26","27","28","30","38","7","23"
"31/03/12","2","6","26","29","41","43","1","7"
"24/03/12","17","27","29","39","42","45","8","10"
"17/03/12","4","10","21","30","41","42","27","34"
"10/03/12","20","21","26","32","41","43","6","22"
"03/03/12","4","5","11","12","14","31","6","16"
"25/02/12","12","14","18","19","30","38","29","42"
"18/02/12","3","13","14","32","37","38","17","29"
"11/02/12","3","13","17","21","25","35","4","9"
"04/02/12","3","10","20","28","40","41","11","17"
"28/01/12","22","28","31","32","40","43","26","37"
"21/01/12","2","9","14","22","31","33","12","30"
"14/01/12","13","16","18","19","23","28","8","37"
"07/01/12","19","29","30","33","44","45","6","13"
"31/12/11","7","8","28","33","38","41","4","37"
"24/12/11","1","4","7","9","12","30","28","41"
"17/12/11","6","11","12","24","26","36","27","43"
"10/12/11","9","18","29","32","33","41","27","45"
"03/12/11","2","9","13","18","26","44","1","7"
"26/11/11","9","12","22","28","41","42","24","27"
"19/11/11","9","18","23","24","33","36","4","34"
"12/11/11","4","5","10","17","22","40","8","38"
"05/11/11","2","6","12","18","44","45","28","32"
"29/10/11","11","12","15","20","32","33","14","19"
"22/10/11","7","19","28","29","43","45","24","27"
"15/10/11","8","12","18","21","24","30","33","37"
"08/10/11","7","18","22","37","38","39","23","27"
"01/10/11","19","25","30","38","42","44","4","20"
"24/09/11","7","10","11","14","37","39","20","40"
"17/09/11","8","10","12","21","37","42","33","40"
"10/09/11","10","20","21","25","38","39","4","43"
"03/09/11","1","7","21","22","23","27","29","40"
"27/08/11","4","8","16","32","33","34","26","29"
"20/08/11","3","24","26","30","32","39","4","8"
"13/08/11","8","13","15","22","33","34","10","41"
"06/08/11","4","6","9","27","39","43","16","34"
"30/07/11","2","5","9","16","23","31","34","38"
"23/07/11","1","4","22","24","31","33","6","10"
"16/07/11","11","16","17","29","35","38","24","34"
"09/07/11","15","32","34","36","41","45","39","40"
"02/07/11","6","10","14","17","39","40","3","5"
"25/06/11","10","11","12","15","22","28","5","13"
"18/06/11","1","6","14","19","32","42","10","34"
"11/06/11","3","11","17","30","36","38","15","42"
"04/06/11","1","19","22","23","27","45","3","38"
"28/05/11","1","9","11","13","33","35","22","30"
"21/05/11","8","13","15","19","27","43","16","34"
"14/05/11","4","10","18","22","31","45","24","40"
"07/05/11","12","24","26","28","39","44","4","36"
"30/04/11","1","7","15","33","35","40","39","45"
"23/04/11","5","10","13","25","32","37","24","41"
"16/04/11","1","14","18","22","23","29","28","39"
"09/04/11","3","4","11","13","41","45","8","39"
"02/04/11","10","14","24","30","40","41","2","8"
"26/03/11","1","14","23","34","41","42","27","37"
